customer_id,first_name,last_name,username,email,password,phone_number,login_attempts,wrong_login_attempts,created_at,modified_at
3,Benice,Ergül,beniceergül,benice.ergül@yahoo.com,scrypt:32768:8:1$fovUpBAL0BXjoOTm$c1502fe5b7a66eff44cf58d76e88a1cdb40291b4b8acff0ca1ee97b09d3858a648081988e22cc4502756c6c4b43b9d667abc1fa85aea2049e930e7d5efcaf985,+90532522322,2,0,2022-02-02 00:00:00,2022-10-01 00:00:00
4,Baytal,Ergül,baytalergül,baytal.ergül@outlook.com,scrypt:32768:8:1$IIIwUhd6xZv0F27M$1feb81d84c52e79f7f23bb6833b4376ca1f9fab874224139553f8ba0ebaf8e5f7b6552ef425ad065799a8cc6f42923c90ffec96ad284592d80a035bd24f7aed0,+90548688704,8,1,2021-10-22 00:00:00,2022-04-25 00:00:00
5,Bedi,Gül,bedigül,bedi.gül@gmail.com,scrypt:32768:8:1$6BmrWyGrVgcQAw0p$b5318207c81083e5296792c168e5c3d02228e7106d1c8777f82cad2130cf42b1f06945c3db9a9bdca5e71c8d8b2fbd720f632b00db4d5cb74c6fd9b11bdc386b,+90562933106,6,4,2022-03-23 00:00:00,2022-07-23 00:00:00
6,Rezin,Şensoy,rezinşensoy,rezin.şensoy@outlook.com,scrypt:32768:8:1$r2MZwUedNDf45qDR$7224f879f889eab51f85c647c8ebfd5e5a94cb607d8649b52250020961cef13ee2620190c2b1c7e07c43f3ac9d2617bf0426c4c5d260c2a936f4701c0b654223,+90549708007,6,2,2021-09-12 00:00:00,2022-05-03 00:00:00
7,Canan,İhsanoğlu,canani̇hsanoğlu,canan.i̇hsanoğlu@yahoo.com,scrypt:32768:8:1$XrkguQe9tYWQNsEk$4f34230e384651562ca08c59d26b948e2aec4ea4bf446fbd12bb5cd703e601c14b5fa57c29be938acc31ff9c621a46e97f0638a6ece34ea2c51d936fc0397ae4,+90569286364,0,0,2022-12-23 00:00:00,2023-09-13 00:00:00
8,Otay,Gül,otaygül,otay.gül@outlook.com,scrypt:32768:8:1$BIbQ2HtK9yhsB4r6$53d73f09f1b07c5cc547109e1675896b736373b89b85359f0f3519250ebd9f9af80e6854a3226170bf91e4ef109e3977bb420936c82278809f73e915b8d1c80d,+90561056041,4,3,2022-11-30 00:00:00,2022-12-13 00:00:00
9,Tanak,Erdoğan,tanakerdoğan,tanak.erdoğan@hotmail.com,scrypt:32768:8:1$gmdtJsj4fFPRnQFb$646dba03126f3fd85d8e3449ea21f747dfdeacd067b6f89c3ee6b97dc9fd811378c0bf289d07d958397f28d32a4c02eed3e6c8bdfce0662c3ff9704f1c802795,+90537417203,4,5,2021-12-27 00:00:00,2022-12-17 00:00:00
10,Tekiner,Fırat,tekinerfırat,tekiner.fırat@hotmail.com,scrypt:32768:8:1$e1BdgdhoYUjP7wPu$9b844db8bfba4e2d691cb49121cf5352eae8e999eb808ae485a21b950cd677371deae42e790ac3b3bf0277bb6c82a90811650102b01efdac4f4ac020b8d6679d,+90552369868,4,4,2021-12-12 00:00:00,2022-01-15 00:00:00
11,Demirok,Ertaş,demirokertaş,demirok.ertaş@outlook.com,scrypt:32768:8:1$ZJyakzRal6gvZR6r$a1d038709cd27adf9663520a686c674e8748a058f97b152f0d3842b4ef12b5ea8949a9b71e5c885921351da88ef1a9a4776e8357f08007fdbcd7d4b1a51ecd37,+90547503972,4,3,2023-03-28 00:00:00,2024-03-12 00:00:00
12,Temizkal,Güçlü,temizkalgüçlü,temizkal.güçlü@yahoo.com,scrypt:32768:8:1$RWgkMwpoVzbnGyqn$3d41a21c52c4977dd8430e444f9dee044207ec82e9be9afe7fc687049f524a5b557f32397b3574cd537e5f43c3212ce7fc68a61aa91e3fc82fdbfce16135a8c1,+90555949374,2,0,2022-11-25 00:00:00,2023-05-31 00:00:00
